Datetime,Open,High,Low,Close,Volume
2009-03-15 17:00:00,929.6,929.6,929.6,929.6,0
2009-03-15 18:00:00,925.85,928.1,925.35,925.9,0
2009-03-15 19:00:00,926.1,927.05,924.55,926.35,0
2009-03-15 20:00:00,926.35,928.4,923.35,928.33,0
2009-03-15 21:00:00,928.4,928.8,926.03,926.35,0
2009-03-15 22:00:00,926.4,926.7,926.0,926.68,0
2009-03-15 23:00:00,926.65,926.88,925.65,926.73,0
2009-03-16 00:00:00,926.7,926.78,924.4,926.1,0
2009-03-16 01:00:00,926.08,926.65,925.05,925.48,0
2009-03-16 02:00:00,925.5,926.98,925.38,926.48,0
2009-03-16 03:00:00,926.45,929.15,926.08,927.3,0
2009-03-16 04:00:00,927.28,930.1,926.48,929.18,0
2009-03-16 05:00:00,929.2,929.33,923.35,923.65,0
2009-03-16 06:00:00,923.68,925.33,922.35,924.33,0
2009-03-16 07:00:00,924.3,924.53,921.95,924.05,0
2009-03-16 08:00:00,924.1,927.33,922.9,925.3,0
2009-03-16 09:00:00,925.35,925.43,916.0,919.15,0
2009-03-16 10:00:00,919.13,924.68,918.35,920.75,0
2009-03-16 11:00:00,920.73,923.75,918.93,922.43,0
2009-03-16 12:00:00,922.5,924.15,920.25,920.83,0
2009-03-16 13:00:00,920.8,923.83,920.18,923.48,0
2009-03-16 14:00:00,923.5,923.83,921.33,923.13,0
2009-03-16 15:00:00,923.15,925.25,923.15,924.3,0
2009-03-16 16:00:00,924.35,924.93,923.05,923.5,0
2009-03-16 17:00:00,923.55,924.05,922.8,922.8,0
2009-03-16 18:00:00,924.65,925.05,924.4,924.45,0
2009-03-16 19:00:00,924.45,924.7,922.45,923.45,0
2009-03-16 20:00:00,923.45,924.33,922.85,923.33,0
2009-03-16 21:00:00,923.25,924.53,923.0,923.65,0
2009-03-16 22:00:00,923.63,923.63,921.4,922.05,0
2009-03-16 23:00:00,922.08,922.78,921.85,922.08,0
2009-03-17 00:00:00,922.13,922.13,920.7,920.93,0
2009-03-17 01:00:00,920.95,921.8,920.78,921.55,0
2009-03-17 02:00:00,921.58,921.65,918.35,919.5,0
2009-03-17 03:00:00,919.48,921.03,918.83,919.7,0
2009-03-17 04:00:00,919.65,921.38,919.5,920.93,0
2009-03-17 05:00:00,920.98,924.23,919.73,920.0,0
2009-03-17 06:00:00,920.08,922.03,919.03,921.65,0
2009-03-17 07:00:00,921.63,923.33,917.3,917.75,0
2009-03-17 08:00:00,917.78,919.95,912.75,914.58,0
2009-03-17 09:00:00,914.6,921.63,914.48,918.65,0
2009-03-17 10:00:00,918.75,918.85,914.6,917.68,0
2009-03-17 11:00:00,917.6,917.85,915.8,916.85,0
2009-03-17 12:00:00,916.9,919.6,913.7,915.48,0
2009-03-17 13:00:00,915.45,917.1,915.13,915.63,0
2009-03-17 14:00:00,915.6,917.83,915.45,916.8,0
2009-03-17 15:00:00,916.83,917.45,915.43,916.0,0
2009-03-17 16:00:00,916.0,916.58,915.45,915.48,0
2009-03-17 17:00:00,915.5,915.65,914.65,915.4,0
2009-03-17 18:00:00,915.4,917.0,914.2,916.25,0
2009-03-17 19:00:00,916.25,916.65,914.65,915.25,0
2009-03-17 20:00:00,915.25,915.28,911.8,914.15,0
2009-03-17 21:00:00,914.2,915.38,913.83,915.28,0
2009-03-17 22:00:00,915.3,915.38,914.25,914.93,0
2009-03-17 23:00:00,914.9,914.98,912.25,912.85,0
2009-03-18 00:00:00,912.75,914.0,911.95,912.7,0
